step,energy
0,-545.8252028229389
1,-546.4056743496884
2,-546.8440860461741
3,-547.1578696409217
4,-547.3820509294877
5,-547.5450973585592
6,-547.6655318188667
7,-547.7552249426699
8,-547.8223540827627
9,-547.8729162823385
10,-547.9113855300113
11,-547.9410608521403
12,-547.9643304180013
13,-547.9828986126277
14,-547.9979735074149
15,-548.0104116564517
16,-548.02082420653
17,-548.0296519835557
18,-548.0372175182255
19,-548.0437607004216
20,-548.0494631237954
21,-548.0544647352776
22,-548.0588752865146
23,-548.0627822796496
24,-548.0662565430274
25,-548.0693561955758
26,-548.0721295068844
27,-548.074616992766
28,-548.0768529753035
29,-548.0788667628567
30,-548.080683556554
31,-548.0823251570195
32,-548.083810523005
33,-548.0851562185851
34,-548.0863767752901
35,-548.0874849883761
36,-548.0884921614813
37,-548.0894083102919
38,-548.0902423333462
39,-548.0910021562055
40,-548.0916948538597
41,-548.0923267551894
42,-548.0929035325521
43,-548.0934302789366
44,-548.0939115746763
45,-548.0943515453538
46,-548.0947539122138
47,-548.095122036226
48,-548.0954589566747
49,-548.0957674250808
50,-548.0960499350879
51,-548.0963087488501
52,-548.0965459204073
53,-548.0967633164204
54,-548.096962634611
55,-548.0971454201913
56,-548.0973130805298
57,-548.0974668982717
58,-548.097608043085
59,-548.0977375822084
60,-548.0978564899235
61,-548.0979656560799
62,-548.0980658937801
63,-548.0981579463096
64,-548.0982424934
65,-548.0983201568893
66,-548.098391505848
67,-548.0984570612259
68,-548.0985173000589
69,-548.0985726593025
70,-548.0986235392967
71,-548.0986703069293
72,-548.0987132985058
73,-548.0987528223733
74,-548.0987891612906
75,-548.0988225746174
76,-548.0988533002804
77,-548.0988815565892
78,-548.0989075438863
79,-548.0989314460492
80,-548.0989534318759
81,-548.0989736563365
82,-548.0989922617283
83,-548.0990093787253
84,-548.0990251273482
85,-548.0990396178357
86,-548.0990529514607
87,-548.0990652212693
88,-548.0990765127507
89,-548.0990869044648
90,-548.0990964686085
91,-548.0991052715353
92,-548.0991133742365
