step,energy
0,-545.8230436967766
1,-546.9280661841334
2,-547.4623190853041
3,-547.6971026710705
4,-547.8055266757676
5,-547.8609008045679
6,-547.8940871230135
7,-547.9175928288623
8,-547.9364432975099
9,-547.9527103100144
10,-547.9672828027478
11,-547.9805576140035
12,-547.9927192288056
13,-548.0038594656294
14,-548.0140316152595
15,-548.0232759294228
16,-548.031631621007
17,-548.0391420305748
18,-548.0458561436449
19,-548.0518281467863
20,-548.0571160054636
21,-548.0617796686155
22,-548.0658792723813
23,-548.0694735580172
24,-548.0726186090727
25,-548.075366937956
26,-548.0777669042964
27,-548.0798624206847
28,-548.0816928897528
29,-548.0832933151604
30,-548.0846945338569
31,-548.0859235249734
32,-548.0870037596939
33,-548.0879555652319
34,-548.088796483718
35,-548.0895416132491
36,-548.0902039233342
37,-548.0907945407988
38,-548.0913230048087
39,-548.0917974915874
40,-548.0922250105108
41,-548.0926115738945
42,-548.0929623431538
43,-548.0932817540406
44,-548.0935736235601
45,-548.09384124105
46,-548.0940874456052
47,-548.0943146918418
48,-548.0945251057149
49,-548.0947205319071
50,-548.0949025740597
51,-548.0950726289507
52,-548.0952319155665
53,-548.0953814998456
54,-548.0955223157662
55,-548.0956551833507
56,-548.0957808240468
57,-548.0958998739009
58,-548.0960128948444
59,-548.0961203843941
60,-548.0962227839827
61,-548.0963204861466
62,-548.0964138407139
63,-548.0965031601628
64,-548.0965887242539
65,-548.0966707840377
66,-548.0967495653423
67,-548.0968252718005
68,-548.0968980874856
69,-548.0969681792023
70,-548.0970356984952
71,-548.0971007833978
72,-548.097163559962
73,-548.0972241436031
74,-548.0972826402724
75,-548.0973391474923
76,-548.0973937552641
77,-548.0974465468657
78,-548.0974975995553
79,-548.0975469851959
80,-548.0975947707947
81,-548.0976410189985
82,-548.0976857885125
83,-548.0977291344851
84,-548.097771108842
85,-548.0978117605852
86,-548.0978511360556
87,-548.097889279176
88,-548.0979262316496
89,-548.0979620331577
90,-548.0979967215194
91,-548.0980303328404
92,-548.0980629016517
93,-548.0980944610218
94,-548.098125042668
95,-548.098154677048
96,-548.09818339345
97,-548.0982112200661
98,-548.0982381840619
99,-548.0982643116444
100,-548.0982896281112
101,-548.0983141579051
102,-548.098337924662
103,-548.0983609512515
104,-548.0983832598124
105,-548.0984048717943
106,-548.0984258079818
107,-548.0984460885303
108,-548.0984657329878
109,-548.0984847603235
110,-548.0985031889475
111,-548.0985210367345
112,-548.0985383210411
113,-548.0985550587244
114,-548.0985712661603
115,-548.0985869592581
116,-548.0986021534774
117,-548.0986168638394
118,-548.0986311049402
119,-548.0986448909672
120,-548.0986582357073
121,-548.0986711525575
122,-548.0986836545379
123,-548.0986957543071
124,-548.0987074641581
125,-548.0987187960428
126,-548.0987297615726
127,-548.0987403720299
128,-548.098750638375
129,-548.0987605712583
130,-548.0987701810251
131,-548.098779477721
132,-548.0987884711077
133,-548.0987971706612
134,-548.0988055855845
135,-548.0988137248146
136,-548.0988215970281
137,-548.0988292106433
138,-548.098836573838
139,-548.0988436945441
140,-548.0988505804605
141,-548.0988572390611
142,-548.0988636775903
143,-548.0988699030826
144,-548.0988759223576
145,-548.0988817420324
146,-548.098887368523
147,-548.098892808049
148,-548.0988980666447
149,-548.0989031501589
150,-548.0989080642604
151,-548.0989128144452
152,-548.0989174060394
153,-548.0989218442044
154,-548.0989261339424
155,-548.0989302801011
156,-548.0989342873733
157,-548.0989381603104
158,-548.0989419033162
159,-548.0989455206602
160,-548.0989490164737
161,-548.0989523947615
162,-548.098955659397
163,-548.0989588141342
164,-548.0989618626065
165,-548.0989648083306
166,-548.0989676547115
167,-548.0989704050455
168,-548.0989730625222
169,-548.0989756302287
170,-548.0989781111525
171,-548.0989805081847
172,-548.0989828241245
173,-548.0989850616767
174,-548.0989872234605
175,-548.0989893120095
176,-548.0989913297751
177,-548.0989932791281
178,-548.0989951623613
179,-548.0989969816937
180,-548.0989987392704
181,-548.0990004371655
182,-548.0990020773853
183,-548.0990036618737
184,-548.0990051925021
185,-548.0990066710875
186,-548.0990080993846
187,-548.0990094790885
188,-548.0990108118401
189,-548.0990120992234
190,-548.0990133427728
191,-548.0990145439687
192,-548.099015704245
193,-548.0990168249846
194,-548.0990179075276
195,-548.0990189531667
196,-548.0990199631536
197,-548.0990209386944
198,-548.099021880959
199,-548.0990227910765
200,-548.0990236701371
201,-548.099024519195
202,-548.0990253392699
203,-548.0990261313468
204,-548.0990268963764
205,-548.0990276352792
206,-548.0990283489417
207,-548.0990290382252
208,-548.0990297039588
209,-548.0990303469422
210,-548.0990309679509
211,-548.0990315677342
212,-548.0990321470135
213,-548.0990327064885
214,-548.0990332468349
215,-548.0990337687028
216,-548.0990342727241
217,-548.0990347595056
218,-548.0990352296367
219,-548.0990356836849
220,-548.0990361221998
221,-548.0990365457108
222,-548.0990369547303
223,-548.0990373497526
