step,energy
0,-545.8230436967766
1,-546.1329451047967
2,-546.4094272199511
3,-546.6334734192695
4,-546.8026068204714
5,-546.9251580739507
6,-547.012660976873
7,-547.0753717669485
8,-547.1209436953519
9,-547.154650859501
10,-547.18001993932
11,-547.1994051846879
12,-547.2144013088667
13,-547.2261134901529
14,-547.235327431074
15,-547.2426155758176
16,-547.2484040594832
17,-547.2530157674553
18,-547.2566987840275
19,-547.2596457587379
20,-547.262007489755
21,-547.2639027165192
22,-547.2654253483531
23,-547.2666499041395
24,-547.2676356678247
25,-547.2684298992712
26,-547.2690703362448
27,-547.2695871561848
28,-547.2700045214108
29,-547.2703418003808
30,-547.2706145354159
31,-547.2708352111014
32,-547.2710138654475
33,-547.2711585767113
34,-547.2712758516677
35,-547.2713709356789
36,-547.2714480605763
37,-547.271510643065
38,-547.2715614436956
39,-547.2716026943631
40,-547.2716362006869
41,-547.2716634242832
42,-547.2716855489557
43,-547.2717035339892
44,-547.2717181571024
45,-547.2717300490876
46,-547.2717397217746
47,-547.2717475906247
48,-547.2717539929865
49,-547.2717592028708
50,-547.2717634429066
51,-547.2717668940215
52,-547.2717697032915
53,-547.271771990297
54,-547.2717738522878
55,-547.2717753683606
56,-547.2717766028644
57,-547.2717776081557
58,-547.2717784268376
59,-547.2717790935836
60,-547.2717796366154
61,-547.2717800789067
62,-547.27178043916
63,-547.2717807326009
64,-547.2717809716289
65,-547.271781166338
66,-547.2717813249508
67,-547.2717814541604
68,-547.2717815594206
69,-547.2717816451719
70,-547.27178171503
71,-547.2717817719441
72,-547.2717818183099
73,-547.2717818560857
74,-547.2717818868621
75,-547.2717819119352
76,-547.2717819323636
77,-547.2717819490075
78,-547.2717819625676
79,-547.2717819736159
80,-547.2717819826181
81,-547.2717819899516
82,-547.2717819959274
83,-547.2717820007958
84,-547.2717820047628
85,-547.2717820079944
86,-547.2717820106283
87,-547.271782012774
88,-547.2717820145224
89,-547.2717820159468
90,-547.2717820171072
91,-547.2717820180521
92,-547.2717820188227
93,-547.2717820194507
94,-547.2717820199623
95,-547.2717820203789
96,-547.2717820207183
97,-547.271782020995
98,-547.2717820212204
99,-547.2717820214041
100,-547.2717820215532
101,-547.2717820216756
102,-547.271782021775
103,-547.2717820218562
104,-547.271782021922
105,-547.2717820219759
106,-547.2717820220196
107,-547.2717820220553
108,-547.2717820220843
109,-547.271782022108
110,-547.271782022127
111,-547.2717820221432
112,-547.2717820221558
113,-547.2717820221659
114,-547.271782022175
115,-547.2717820221817
116,-547.2717820221874
117,-547.271782022192
118,-547.2717820221958
119,-547.2717820221989
120,-547.2717820222016
121,-547.2717820222031
122,-547.2717820222052
123,-547.2717820222061
124,-547.2717820222074
125,-547.2717820222082
126,-547.2717820222089
127,-547.27178202221
128,-547.2717820222101
129,-547.2717820222105
130,-547.271782022211
131,-547.2717820222113
132,-547.2717820222115
133,-547.2717820222115
134,-547.2717820222117
135,-547.2717820222118
136,-547.271782022212
137,-547.2717820222118
138,-547.2717820222119
139,-547.271782022212
140,-547.2717820222123
141,-547.2717820222124
142,-547.271782022212
143,-547.2717820222118
144,-547.2717820222122
145,-547.2717820222124
146,-547.2717820222122
147,-547.2717820222128
148,-547.2717820222119
149,-547.2717820222123
150,-547.271782022212
151,-547.2717820222124
152,-547.2717820222122
153,-547.2717820222125
154,-547.271782022212
155,-547.2717820222126
156,-547.271782022212
157,-547.2717820222124
158,-547.2717820222125
159,-547.2717820222123
160,-547.2717820222124
161,-547.2717820222122
162,-547.2717820222127
163,-547.271782022212
164,-547.2717820222122
165,-547.2717820222125
166,-547.2717820222123
167,-547.2717820222126
168,-547.2717820222117
169,-547.2717820222122
170,-547.271782022212
171,-547.2717820222116
172,-547.2717820222119
173,-547.2717820222122
174,-547.2717820222119
175,-547.2717820222122
176,-547.2717820222122
177,-547.2717820222122
178,-547.2717820222122
179,-547.2717820222123
180,-547.2717820222122
181,-547.2717820222122
182,-547.2717820222122
183,-547.2717820222122
184,-547.2717820222122
185,-547.2717820222122
186,-547.2717820222122
187,-547.2717820222122
188,-547.2717820222123
189,-547.2717820222122
190,-547.2717820222122
191,-547.2717820222122
192,-547.2717820222122
193,-547.2717820222122
194,-547.2717820222123
195,-547.2717820222122
196,-547.2717820222122
197,-547.2717820222123
198,-547.2717820222122
199,-547.2717820222122
200,-547.2717820222123
201,-547.2717820222123
202,-547.2717820222122
203,-547.2717820222122
204,-547.2717820222122
205,-547.2717820222122
206,-547.2717820222123
207,-547.271782022212
208,-547.2717820222122
209,-547.2717820222123
210,-547.2717820222122
211,-547.2717820222122
212,-547.2717820222123
213,-547.2717820222122
214,-547.271782022212
215,-547.2717820222122
216,-547.2717820222122
217,-547.2717820222123
218,-547.2717820222123
219,-547.2717820222123
220,-547.2717820222123
221,-547.2717820222122
222,-547.2717820222122
223,-547.2717820222122
224,-547.2717820222122
225,-547.2717820222123
226,-547.2717820222123
227,-547.2717820222123
228,-547.2717820222123
229,-547.2717820222122
230,-547.2717820222122
231,-547.2717820222122
232,-547.2717820222122
233,-547.2717820222122
234,-547.2717820222123
235,-547.2717820222123
236,-547.2717820222123
237,-547.271782022212
238,-547.2717820222122
239,-547.2717820222122
240,-547.2717820222123
241,-547.2717820222122
242,-547.2717820222123
243,-547.2717820222123
244,-547.2717820222122
245,-547.2717820222122
246,-547.2717820222122
247,-547.2717820222122
248,-547.2717820222123
249,-547.2717820222123
250,-547.2717820222122
251,-547.2717820222122
252,-547.2717820222123
253,-547.2717820222122
254,-547.271782022212
255,-547.2717820222122
256,-547.2717820222122
257,-547.2717820222122
258,-547.2717820222123
259,-547.2717820222122
260,-547.2717820222123
261,-547.2717820222123
262,-547.2717820222122
263,-547.2717820222122
264,-547.271782022212
265,-547.2717820222123
266,-547.2717820222122
267,-547.2717820222122
268,-547.2717820222123
269,-547.2717820222123
270,-547.2717820222123
271,-547.2717820222123
272,-547.2717820222122
273,-547.2717820222122
274,-547.2717820222123
275,-547.2717820222122
276,-547.2717820222123
277,-547.2717820222123
278,-547.2717820222123
279,-547.2717820222123
280,-547.2717820222123
281,-547.271782022212
282,-547.2717820222122
283,-547.2717820222123
284,-547.2717820222123
285,-547.2717820222122
286,-547.2717820222123
287,-547.2717820222122
288,-547.2717820222122
289,-547.2717820222122
290,-547.2717820222123
291,-547.2717820222122
292,-547.2717820222122
293,-547.2717820222123
294,-547.2717820222122
295,-547.2717820222122
296,-547.2717820222122
297,-547.2717820222123
298,-547.2717820222123
299,-547.2717820222122
300,-547.2717820222122
301,-547.2717820222123
302,-547.2717820222123
303,-547.2717820222122
304,-547.2717820222122
305,-547.2717820222123
306,-547.2717820222123
307,-547.2717820222122
308,-547.2717820222122
309,-547.2717820222122
310,-547.2717820222123
311,-547.2717820222123
312,-547.2717820222122
313,-547.271782022212
314,-547.2717820222123
315,-547.2717820222123
316,-547.2717820222122
317,-547.2717820222122
318,-547.2717820222122
319,-547.2717820222122
320,-547.2717820222122
321,-547.2717820222122
322,-547.2717820222122
323,-547.2717820222122
324,-547.2717820222122
325,-547.2717820222123
326,-547.2717820222122
327,-547.2717820222122
328,-547.2717820222122
329,-547.2717820222123
330,-547.2717820222122
331,-547.2717820222123
332,-547.271782022212
333,-547.2717820222123
334,-547.2717820222123
