step,energy
0,-546.265244084084
1,-546.529665212901
2,-546.7710833098649
3,-546.9720738532578
4,-547.128580688195
5,-547.2463949410238
6,-547.3349271871868
7,-547.4029810095265
8,-547.4572077835247
9,-547.5020943616494
10,-547.5404684112588
11,-547.5740360685918
12,-547.6038013511696
13,-547.6303549855213
14,-547.6540599968151
15,-547.6751647081727
16,-547.6938674543744
17,-547.7103503667482
18,-547.7247941777197
19,-547.7373821222901
20,-547.7482982619462
21,-547.7577235835387
22,-547.7658318230976
23,-547.7727860032038
24,-547.7787360554096
25,-547.7838175405171
26,-547.7881513006641
27,-547.7918438143598
28,-547.7949880273427
29,-547.7976644666354
30,-547.799942488398
31,-547.8018815535946
32,-547.8035324609795
33,-547.8049384953764
34,-547.8061364690891
35,-547.8071576487206
36,-547.808028568249
37,-547.80877173484
38,-547.809406236664
39,-547.8099482632479
40,-547.8104115488813
41,-547.8108077492847
42,-547.8111467608821
43,-547.8114369908918
44,-547.8116855856583
45,-547.8118986235606
46,-547.8120812779298
47,-547.8122379546616
48,-547.8123724085071
49,-547.8124878413562
50,-547.8125869853399
51,-547.8126721732173
52,-547.8127453979109
53,-547.8128083630099
54,-547.8128625255839
55,-547.8129091325246
56,-547.812949251421
57,-547.8129837967895
58,-547.8130135523976
59,-547.8130391902789
60,-547.8130612868894
61,-547.8130803369404
62,-547.8130967651481
63,-547.8131109362797
64,-547.813123163753
65,-547.8131337169353
66,-547.8131428274341
67,-547.8131506944691
68,-547.8131574894306
69,-547.8131633598363
70,-547.8131684326901
71,-547.8131728173738
72,-547.8131766080966
73,-547.8131798860652
74,-547.8131827212602
75,-547.8131851740147
76,-547.8131872963698
77,-547.8131891332135
78,-547.8131907232865
79,-547.8131921000154
80,-547.8131932922659
81,-547.813194324953
82,-547.8131952196076
83,-547.8131959948273
84,-547.8131966666767
85,-547.8131972490511
86,-547.8131977539543
87,-547.8131981917721
88,-547.8131985714809
89,-547.8131989008494
90,-547.8131991866032
91,-547.8131994345596
92,-547.8131996497464
93,-547.8131998365346
94,-547.8131999986922
95,-547.8132001394796
96,-547.8132002617457
97,-547.8132003679349
98,-547.8132004601831
99,-547.8132005403221
100,-547.8132006099579
101,-547.8132006704678
102,-547.813200723061
103,-547.8132007687888
104,-547.8132008085314
105,-547.813200843092
106,-547.8132008731449
107,-547.8132008992761
108,-547.8132009220107
109,-547.8132009417934
110,-547.8132009589971
111,-547.8132009739721
112,-547.8132009870048
113,-547.8132009983431
