step,energy
0,-546.2706424168223
1,-546.6675538267633
2,-546.9997950902494
3,-547.255945175117
4,-547.4468497939517
5,-547.5902006356491
6,-547.7021554303791
7,-547.7951248790487
8,-547.8778694212763
9,-547.9560083706152
10,-548.0324088539817
11,-548.1075077923097
12,-548.1798494661626
13,-548.2470302567014
14,-548.306856496277
15,-548.3581997697237
16,-548.4011839095772
17,-548.4368155694555
18,-548.4664516366503
19,-548.4914021950515
20,-548.512743219922
21,-548.5312810307227
22,-548.5475898084613
23,-548.5620695271156
24,-548.5749995276751
25,-548.5865799090539
26,-548.5969605995195
27,-548.6062605346282
28,-548.6145796875571
29,-548.6220062517388
30,-548.6286206869698
31,-548.634497824555
32,-548.6397078327844
33,-548.6443165614144
34,-548.6483855883723
35,-548.6519721606837
36,-548.6551291355888
37,-548.6579049732571
38,-548.660343799353
39,-548.6624855367859
40,-548.6643660962524
41,-548.6660176113061
42,-548.66746870311
43,-548.6687447614514
44,-548.6698682306609
45,-548.6708588916175
46,-548.6717341332285
47,-548.6725092089139
48,-548.6731974752307
49,-548.6738106111425
50,-548.6743588174887
51,-548.674850996883
52,-548.6752949148502
53,-548.675697343294
54,-548.6760641876091
55,-548.6764005988366
56,-548.676711072287
57,-548.6769995339964
58,-548.6772694163411
59,-548.6775237240352
60,-548.6777650916463
61,-548.6779958336377
62,-548.6782179878614
63,-548.67843335335
64,-548.6786435230896
65,-548.6788499124716
66,-548.6790537839496
67,-548.6792562684185
68,-548.6794583837503
69,-548.6796610508495
70,-548.6798651075779
71,-548.680071320806
72,-548.680280396875
73,-548.6804929906433
74,-548.6807097133328
75,-548.6809311393098
76,-548.6811578119632
77,-548.6813902487655
78,-548.6816289456503
79,-548.681874380771
80,-548.6821270177151
81,-548.6823873082574
82,-548.6826556946722
83,-548.6829326116872
84,-548.6832184880843
85,-548.6835137480032
86,-548.6838188119618
87,-548.6841340976146
88,-548.684460020281
89,-548.6847969932461
90,-548.6851454278371
91,-548.6855057333169
92,-548.6858783165608
93,-548.6862635815586
94,-548.6866619287209
95,-548.6870737540014
96,-548.6874994478488
97,-548.6879393939663
98,-548.688393967902
99,-548.6888635354653
100,-548.6893484509634
101,-548.6898490552788
102,-548.690365673775
103,-548.6908986140453
