step,energy
0,-546.265244084084
1,-547.3291155241905
2,-547.9055909927831
3,-548.1864766753167
4,-548.3231823074813
5,-548.3927480407148
6,-548.4320188293481
7,-548.4569540751543
8,-548.4743486912971
9,-548.4873126083708
10,-548.4974467764463
11,-548.5056789033231
12,-548.5126005759272
13,-548.5186168789932
14,-548.524020865221
15,-548.529034955961
16,-548.5338361633461
17,-548.5385725409525
18,-548.5433744117951
19,-548.5483621692945
20,-548.5536515249058
21,-548.5593564998957
22,-548.5655900389885
23,-548.5724617984807
24,-548.5800724545361
25,-548.5885038924635
26,-548.5978050586127
27,-548.6079743007526
28,-548.6189408001125
29,-548.6305499405374
30,-548.6425592347025
31,-548.6546511590509
32,-548.6664655018923
33,-548.677646819993
34,-548.6878952750909
35,-548.6970060353256
36,-548.7048862962363
37,-548.7115479220811
38,-548.7170824277496
39,-548.7216290420531
40,-548.7253452704775
41,-548.7283851842633
42,-548.7308865157302
43,-548.7329650792004
44,-548.7347141474344
45,-548.7362065860879
46,-548.737498144556
47,-548.7386309212762
48,-548.7396364984669
49,-548.7405385498535
50,-548.7413548980262
51,-548.7420990804699
52,-548.7427815121066
53,-548.7434103333197
54,-548.7439920211964
55,-548.7445318268872
56,-548.7450340874649
57,-548.7455024482881
58,-548.7459400221834
59,-548.746349504156
60,-548.7467332549286
61,-548.7470933625779
62,-548.747431688754
63,-548.7477499039669
64,-548.7480495150651
65,-548.7483318870275
66,-548.7485982606242
67,-548.7488497669427
68,-548.7490874395792
69,-548.7493122249683
70,-548.7495249913018
71,-548.7497265362298
72,-548.7499175936617
73,-548.7500988397136
74,-548.7502708980356
75,-548.7504343445236
76,-548.7505897115591
77,-548.750737491806
78,-548.7508781416377
79,-548.7510120842176
80,-548.7511397122945
81,-548.7512613907338
82,-548.7513774588087
83,-548.7514882322839
84,-548.7515940053073
85,-548.7516950521415
86,-548.7517916287272
87,-548.7518839741244
88,-548.7519723118098
89,-548.7520568508793
90,-548.7521377871416
91,-548.7522153041067
92,-548.7522895739169
93,-548.7523607581692
94,-548.7524290086956
95,-548.7524944682607
96,-548.7525572712093
97,-548.7526175440676
98,-548.7526754060809
99,-548.7527309697241
100,-548.7527843411565
101,-548.7528356206567
102,-548.7528849030092
103,-548.752932277868
104,-548.7529778300957
105,-548.7530216400669
106,-548.7530637839586
107,-548.7531043340095
108,-548.7531433587699
109,-548.7531809233268
110,-548.7532170895153
111,-548.7532519161069
112,-548.7532854590057
113,-548.7533177713988
114,-548.7533489039313
115,-548.7533789048339
116,-548.7534078200728
117,-548.7534356934749
118,-548.7534625668392
119,-548.7534884800504
120,-548.7535134711861
121,-548.7535375766098
122,-548.7535608310635
123,-548.7535832677444
124,-548.7536049183999
125,-548.753625813389
126,-548.7536459817564
127,-548.7536654513001
128,-548.7536842486327
129,-548.7537023992346
130,-548.7537199275177
131,-548.7537368568707
132,-548.7537532097098
133,-548.7537690075229
134,-548.7537842709204
135,-548.7537990196624
136,-548.7538132727121
137,-548.7538270482655
138,-548.7538403637839
139,-548.7538532360347
140,-548.7538656811133
141,-548.7538777144794
142,-548.7538893509835
143,-548.7539006048917
144,-548.7539114899139
145,-548.7539220192241
146,-548.7539322054898
147,-548.7539420608863
148,-548.7539515971221
149,-548.7539608254563
150,-548.7539697567187
151,-548.7539784013281
152,-548.75398676931
153,-548.7539948703095
154,-548.7540027136076
155,-548.7540103081396
156,-548.7540176625088
157,-548.7540247849935
158,-548.7540316835687
159,-548.7540383659118
160,-548.7540448394184
161,-548.7540511112121
162,-548.7540571881531
163,-548.7540630768526
164,-548.7540687836819
165,-548.7540743147774
166,-548.7540796760557
167,-548.7540848732175
168,-548.7540899117594
169,-548.7540947969808
170,-548.7540995339873
171,-548.7541041277057
172,-548.7541085828846
173,-548.7541129041058
174,-548.7541170957854
175,-548.7541211621857
176,-548.7541251074166
177,-548.7541289354444
178,-548.7541326500941
179,-548.7541362550578
180,-548.7541397538978
181,-548.7541431500531
182,-548.7541464468405
183,-548.7541496474638
184,-548.7541527550139
185,-548.7541557724761
186,-548.7541587027313
187,-548.7541615485633
188,-548.7541643126573
189,-548.7541669976073
190,-548.7541696059195
191,-548.7541721400149
192,-548.75417460223
193,-548.7541769948227
194,-548.7541793199748
195,-548.7541815797936
196,-548.7541837763154
197,-548.7541859115088
198,-548.7541879872747
199,-548.75419000545
200,-548.7541919678112
201,-548.7541938760755
202,-548.7541957319028
203,-548.754197536896
204,-548.7541992926067
205,-548.7542010005357
206,-548.7542026621313
207,-548.7542042787953
208,-548.7542058518857
209,-548.7542073827129
210,-548.754208872546
211,-548.7542103226098
212,-548.7542117340943
213,-548.7542131081464
214,-548.7542144458771
215,-548.7542157483612
216,-548.7542170166396
217,-548.7542182517169
218,-548.7542194545719
219,-548.7542206261436
220,-548.7542217673454
221,-548.7542228790617
