step,energy
0,-546.1585272017494
1,-546.51758710671
2,-546.7604114792861
3,-546.9388939435288
4,-547.0824497750954
5,-547.2051980979683
6,-547.3118387049221
7,-547.4025780789353
8,-547.4772756903641
9,-547.5372458193291
10,-547.5847491428873
11,-547.6220430037623
12,-547.6510515918318
13,-547.6734162585714
14,-547.6905566087327
15,-547.7036752510547
16,-547.7137534945272
17,-547.7215642327801
18,-547.727700228562
19,-547.7326083358159
20,-547.7366224695973
21,-547.7399918610296
22,-547.7429036944887
23,-547.7455005210481
24,-547.7478933286302
25,-547.7501712167698
26,-547.7524085115932
27,-547.754669988632
28,-547.7570147033883
29,-547.7594987824633
30,-547.7621774054594
31,-547.765106107322
32,-547.7683414489992
33,-547.7719410399176
34,-547.7759628514219
35,-547.7804637432522
36,-547.7854971474181
37,-547.7911099291236
38,-547.7973385821585
39,-547.8042051099862
40,-547.8117131586948
41,-547.819845131955
42,-547.8285610316535
43,-547.8377995424213
44,-547.8474813998315
45,-547.8575144678325
46,-547.8677994428386
47,-547.8782349621765
48,-547.8887212398134
49,-547.8991620420175
50,-547.9094655050072
51,-547.9195446432001
52,-547.9293182726306
53,-547.9387126239143
54,-547.9476634318378
55,-547.9561180032238
56,-547.9640367540495
57,-547.9713938924942
58,-547.9781771705442
59,-547.9843868260068
60,-547.9900339453857
61,-547.995138503143
62,-547.9997273038987
63,-548.0038320006655
64,-548.0074873046141
65,-548.0107294509946
66,-548.0135949458269
67,-548.016119589384
68,-548.0183377540387
69,-548.0202818838125
70,-548.0219821788506
71,-548.0234664282222
72,-548.0247599572052
73,-548.0258856594555
74,-548.0268640892047
75,-548.0277135933652
76,-548.0284504677546
77,-548.029089125434
78,-548.0296422683268
79,-548.0301210558499
80,-548.0305352663213
81,-548.0308934484513
82,-548.0312030614131
83,-548.0314706028124
84,-548.03170172451
85,-548.0319013366204
86,-548.032073700324
87,-548.0322225102493
88,-548.032350967275
89,-548.0324618426374
90,-548.0325575341991
91,-548.0326401157145
92,-548.0327113798627
93,-548.0327728757712
94,-548.032825941674
95,-548.0328717333051
96,-548.0329112485532
97,-548.0329453488444
98,-548.0329747776739
99,-548.0330001766546
100,-548.0330220994117
101,-548.033041023593
102,-548.0330573612605
103,-548.0330714678673
104,-548.0330836500146
105,-548.0330941721527
106,-548.0331032623635
107,-548.0331111173551
108,-548.0331179067751
109,-548.0331237769267
110,-548.033128853982
111,-548.0331332467495
112,-548.033137049062
113,-548.0331403418412
114,-548.0331431948719
115,-548.0331456683359
116,-548.033147814136
117,-548.0331496770324
118,-548.0331512956313
119,-548.0331527032279
120,-548.0331539285397
121,-548.0331549963388
122,-548.0331559279923
123,-548.0331567419321
124,-548.0331574540602
125,-548.0331580780963
126,-548.0331586258789
127,-548.0331591076217
128,-548.0331595321421
129,-548.0331599070505
130,-548.033160238914
131,-548.0331605334055
132,-548.0331607954229
133,-548.0331610291954
134,-548.0331612383794
135,-548.0331614261313
136,-548.033161595181
137,-548.0331617478902
138,-548.0331618862992
139,-548.0331620121748
140,-548.0331621270461
141,-548.033162232238
142,-548.0331623288976
143,-548.0331624180201
144,-548.0331625004694
145,-548.0331625769956
146,-548.0331626482489
147,-548.0331627147979
148,-548.033162777134
149,-548.0331628356898
150,-548.0331628908385
151,-548.0331629429098
152,-548.03316299219
153,-548.0331630389314
154,-548.033163083355
155,-548.0331631256548
156,-548.0331631660024
157,-548.0331632045504
158,-548.0331632414316
159,-548.0331632767662
160,-548.0331633106599
161,-548.0331633432075
162,-548.0331633744936
163,-548.0331634045949
164,-548.0331634335795
165,-548.0331634615098
166,-548.0331634884418
167,-548.0331635144273
168,-548.0331635395122
169,-548.0331635637401
170,-548.0331635871494
171,-548.0331636097782
172,-548.0331636316595
173,-548.0331636528238
174,-548.0331636733009
175,-548.0331636931177
176,-548.0331637123002
177,-548.0331637308725
178,-548.0331637488562
179,-548.0331637662734
180,-548.0331637831442
181,-548.0331637994882
182,-548.033163815323
183,-548.0331638306661
184,-548.0331638455344
185,-548.0331638599436
186,-548.0331638739092
187,-548.0331638874444
188,-548.0331639005651
189,-548.0331639132833
190,-548.0331639256121
191,-548.033163937564
192,-548.0331639491516
193,-548.0331639603852
194,-548.0331639712762
195,-548.0331639818365
196,-548.0331639920751
197,-548.0331640020022
198,-548.0331640116281
199,-548.0331640209608
200,-548.0331640300103
201,-548.0331640387859
202,-548.0331640472943
203,-548.0331640555454
204,-548.033164063546
205,-548.0331640713039
206,-548.0331640788273
207,-548.0331640861225
208,-548.0331640931963
209,-548.0331641000569
210,-548.033164106709
211,-548.0331641131592
212,-548.0331641194144
213,-548.0331641254813
214,-548.0331641313632
215,-548.0331641370675
216,-548.0331641425994
217,-548.0331641479643
218,-548.0331641531664
219,-548.0331641582109
220,-548.033164163103
221,-548.0331641678471
222,-548.0331641724473
223,-548.0331641769087
224,-548.0331641812356
225,-548.0331641854308
226,-548.0331641894998
227,-548.0331641934448
228,-548.0331641972714
229,-548.0331642009818
230,-548.03316420458
231,-548.0331642080696
232,-548.0331642114537
233,-548.0331642147349
234,-548.0331642179178
235,-548.0331642210041
236,-548.0331642239963
237,-548.0331642268986
238,-548.0331642297128
239,-548.0331642324428
240,-548.0331642350894
241,-548.0331642376561
242,-548.0331642401457
243,-548.033164242559
244,-548.0331642449005
245,-548.0331642471705
246,-548.0331642493718
247,-548.0331642515066
248,-548.033164253577
249,-548.0331642555852
250,-548.0331642575319
251,-548.0331642594205
252,-548.033164261251
253,-548.0331642630274
254,-548.0331642647492
255,-548.033164266419
256,-548.0331642680386
257,-548.0331642696087
258,-548.0331642711321
259,-548.0331642726092
260,-548.0331642740414
261,-548.0331642754304
262,-548.0331642767775
263,-548.0331642780836
264,-548.0331642793502
265,-548.0331642805788
266,-548.0331642817702
267,-548.0331642829252
268,-548.0331642840455
269,-548.0331642851323
270,-548.033164286186
271,-548.0331642872079
272,-548.0331642881986
273,-548.0331642891595
274,-548.0331642900915
275,-548.0331642909949
276,-548.033164291872
277,-548.0331642927218
278,-548.0331642935454
279,-548.0331642943453
280,-548.0331642951202
281,-548.0331642958724
282,-548.0331642966011
283,-548.0331642973078
284,-548.0331642979933
